24, 40, 34, 21, 19, 19, 20, 35, 19, 19
9, 10, 9, 9, 9, 9, 9, 9, 10, 11
23, 22, 22, 22, 22, 22, 21, 21, 23, 22
26, 27, 25, 27, 27, 27, 26, 26, 27, 26
21, 20, 21, 22, 21, 19, 19, 21, 20, 21
24, 23, 24, 24, 24, 22, 24, 24, 23, 24
30, 31, 31, 31, 33, 30, 32, 30, 31, 31
57, 59, 59, 57, 60, 61, 62, 60, 60, 61
23, 22, 21, 21, 23, 22, 22, 20, 22, 21
11, 10, 10, 11, 11, 11, 11, 10, 10, 10
24, 24, 24, 26, 24, 25, 25, 25, 27, 25
40, 39, 39, 40, 40, 38, 37, 39, 37, 40
24, 23, 24, 24, 24, 23, 25, 23, 23, 24
27, 25, 27, 26, 25, 27, 27, 31, 27, 27
39, 38, 38, 39, 38, 38, 40, 37, 43, 38
88, 80, 79, 79, 80, 78, 75, 80, 75, 97
26, 19, 22, 17, 19, 18, 20, 20, 19, 17
8, 7, 7, 7, 7, 7, 7, 7, 7, 8
22, 21, 21, 21, 21, 22, 21, 23, 22, 21
35, 36, 34, 35, 35, 32, 32, 34, 34, 34
16, 18, 21, 18, 18, 17, 17, 17, 17, 19
23, 23, 22, 23, 23, 22, 23, 23, 22, 23
36, 33, 35, 33, 36, 34, 35, 34, 34, 35
102, 100, 96, 114, 97, 96, 99, 98, 103, 97
21, 21, 21, 20, 21, 21, 22, 21, 21, 20
7, 6, 7, 7, 7, 9, 7, 7, 7, 7
25, 23, 25, 24, 23, 26, 24, 26, 24, 26
30, 31, 31, 32, 28, 32, 32, 31, 31, 32
22, 17, 16, 16, 17, 16, 15, 16, 16, 23
24, 25, 25, 26, 26, 25, 24, 25, 34, 26
36, 37, 37, 38, 36, 37, 37, 36, 37, 36
74, 76, 85, 76, 73, 79, 79, 86, 77, 75
