7, 9, 10, 13, 7, 7, 7, 7, 7, 8
9, 7, 7, 7, 7, 7, 7, 7, 7, 7
235, 201, 197, 203, 209, 196, 200, 194, 199, 196
210, 194, 205, 200, 192, 200, 196, 190, 193, 198
201, 201, 198, 204, 198, 196, 193, 193, 198, 190
17509, 17463, 17286, 17347, 17749, 17532, 17273, 17233, 17313, 17238
17156, 17164, 17262, 17231, 17201, 17264, 17119, 17219, 17165, 17178
17165, 17131, 17121, 17365, 17204, 17171, 17050, 17070, 17092, 17451
9, 7, 7, 7, 7, 7, 8, 11, 7, 8
8, 8, 7, 7, 7, 7, 7, 7, 7, 8
196, 195, 200, 193, 196, 197, 202, 202, 204, 188
200, 202, 196, 198, 196, 192, 194, 212, 193, 192
207, 195, 193, 192, 196, 201, 208, 207, 191, 191
17454, 17477, 17393, 17385, 17454, 17541, 17451, 17518, 17561, 17606
17452, 17458, 17511, 17471, 17688, 17711, 17670, 17775, 17745, 17657
17756, 17876, 17854, 17762, 17721, 17683, 17648, 17766, 17727, 17753
14, 12, 11, 12, 11, 12, 11, 11, 11, 11
11, 11, 10, 10, 10, 10, 11, 11, 11, 11
506, 507, 506, 502, 501, 489, 508, 527, 519, 511
516, 488, 489, 501, 492, 508, 500, 487, 499, 498
532, 486, 518, 494, 493, 495, 500, 487, 488, 505
47202, 47424, 47325, 47184, 47313, 47133, 47178, 47350, 47194, 47218
47886, 47274, 47335, 47335, 47305, 47326, 47416, 47337, 47458, 47232
48076, 47580, 47732, 47604, 47620, 47597, 47612, 47781, 47752, 47630
18, 14, 13, 14, 13, 15, 14, 14, 14, 14
16, 13, 13, 14, 14, 15, 16, 15, 15, 14
548, 542, 546, 551, 552, 552, 543, 534, 549, 535
562, 537, 534, 526, 532, 520, 523, 530, 539, 550
568, 540, 537, 537, 527, 541, 535, 533, 575, 541
48362, 48287, 48226, 47984, 48008, 48138, 47997, 48390, 47962, 47982
48628, 48058, 47858, 48058, 48141, 48077, 48032, 48067, 48008, 47910
48511, 47975, 48053, 47885, 47927, 47885, 47788, 47528, 47663, 47998
