1, 1, 1, 2, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
171, 114, 102, 87, 83, 78, 73, 74, 75, 74
77, 77, 79, 74, 78, 76, 78, 76, 76, 76
81, 80, 82, 75, 81, 82, 79, 79, 87, 82
28820, 27309, 35908, 26763, 30520, 16279, 15609, 26814, 24891, 39934
37768, 32938, 25264, 31497, 16701, 30889, 36464, 39491, 17628, 31277
22636, 28557, 24968, 22641, 19051, 21342, 29484, 19422, 24233, 18846
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
90, 92, 89, 89, 95, 91, 94, 91, 93, 95
93, 92, 92, 92, 93, 88, 90, 88, 91, 88
90, 91, 87, 87, 92, 85, 91, 88, 88, 86
9360, 9181, 9245, 9639, 9607, 9511, 9600, 9746, 9782, 10076
11995, 11516, 14306, 38538, 36230, 27916, 39905, 37751, 23167, 31160
41716, 40539, 38578, 35591, 24305, 38225, 39758, 42000, 37172, 38617
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
174, 178, 182, 180, 182, 181, 187, 190, 182, 192
181, 186, 183, 175, 176, 171, 183, 183, 175, 179
181, 178, 179, 184, 183, 172, 174, 188, 176, 180
13372, 15151, 17633, 19736, 36661, 35412, 26129, 38781, 42040, 43318
43011, 43111, 43442, 43801, 43790, 43814, 41885, 38353, 35335, 21115
41200, 29155, 41784, 44150, 41868, 36011, 38934, 35148, 42703, 39153
1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 1, 1, 1, 1, 1, 2, 1
250, 255, 240, 235, 242, 245, 241, 237, 250, 242
240, 241, 226, 232, 224, 226, 225, 232, 232, 228
230, 222, 223, 228, 234, 223, 237, 220, 216, 236
17544, 17969, 17622, 17582, 19322, 19377, 34382, 30580, 44848, 44159
44951, 35108, 40728, 38528, 42243, 38840, 32456, 31539, 42749, 43964
37929, 38407, 45927, 45465, 45339, 39667, 33479, 37011, 43953, 42193
